dataset,sampling_rate,method,epoch,cumulative_gpu_runtime_s,final_rmse,speedup
BJTaxi,0.5,Only divide,1000,12.15,0.038928,1.00
BJTaxi,0.5,PARSEC,1000,8.57,0.042199,1.42
